race_type,race,race_precincts_reported,race_total_precincts,race_yes_votes,race_no_votes,county_name,fips,county_reporting_precincts,county_total_precincts,party,candidate_id,candidate_name,county_yes_votes,county_no_votes
Ballot Issues,Constitutional Amendment 6,0,3327,4322276,4322392,Cedar,039,0,10,Ballot Issues,750006200,Constitutional Amendment 6,37184,37185
Ballot Issues,Constitutional Amendment 6,0,3327,4322276,4322392,Pulaski,169,0,10,Ballot Issues,750006200,Constitutional Amendment 6,37316,37317
Ballot Issues,Constitutional Amendment 10,0,3327,4349188,4349304,Dunklin,069,0,19,Ballot Issues,750006201,Constitutional Amendment 10,37446,37447
Ballot Issues,Constitutional Amendment 10,0,3327,4349188,4349304,St. Clair,185,0,10,Ballot Issues,750006201,Constitutional Amendment 10,37576,37577
Ballot Issues,Constitutional Amendment 2,0,3327,4268452,4268568,Washington,221,0,16,Ballot Issues,750006198,Constitutional Amendment 2,36904,36905
Ballot Issues,Constitutional Amendment 3,0,3327,4295364,4295480,Mississippi,133,0,9,Ballot Issues,750006199,Constitutional Amendment 3,37048,37049
Ballot Issues,Constitutional Amendment 6,0,3327,4322276,4322392,Chariton,041,0,13,Ballot Issues,750006200,Constitutional Amendment 6,37186,37187
Ballot Issues,Constitutional Amendment 6,0,3327,4322276,4322392,Putnam,171,0,8,Ballot Issues,750006200,Constitutional Amendment 6,37318,37319
Ballot Issues,Constitutional Amendment 10,0,3327,4349188,4349304,Franklin,071,0,51,Ballot Issues,750006201,Constitutional Amendment 10,37448,37449
Ballot Issues,Constitutional Amendment 10,0,3327,4349188,4349304,St. Francois,187,0,23,Ballot Issues,750006201,Constitutional Amendment 10,37578,37579
State of Missouri,State Auditor,0,3329,11958846,0,Adair,001,0,12,Republican,750074446,Tom Schweich,34191,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Adair,001,0,12,Libertarian,750074445,Sean O'Toole,34192,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Adair,001,0,12,Constitution,750074444,Rodney Farthing,34193,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Andrew,003,0,19,Republican,750074446,Tom Schweich,34194,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Andrew,003,0,19,Libertarian,750074445,Sean O'Toole,34195,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Andrew,003,0,19,Constitution,750074444,Rodney Farthing,34196,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Atchison,005,0,6,Republican,750074446,Tom Schweich,34197,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Atchison,005,0,6,Libertarian,750074445,Sean O'Toole,34198,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Atchison,005,0,6,Constitution,750074444,Rodney Farthing,34199,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Audrain,007,0,16,Republican,750074446,Tom Schweich,34200,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Audrain,007,0,16,Libertarian,750074445,Sean O'Toole,34201,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Audrain,007,0,16,Constitution,750074444,Rodney Farthing,34202,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Barry,009,0,19,Republican,750074446,Tom Schweich,34203,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Barry,009,0,19,Libertarian,750074445,Sean O'Toole,34204,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Barry,009,0,19,Constitution,750074444,Rodney Farthing,34205,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Barton,011,0,9,Republican,750074446,Tom Schweich,34206,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Barton,011,0,9,Libertarian,750074445,Sean O'Toole,34207,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Barton,011,0,9,Constitution,750074444,Rodney Farthing,34208,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Bates,013,0,16,Republican,750074446,Tom Schweich,34209,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Bates,013,0,16,Libertarian,750074445,Sean O'Toole,34210,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Bates,013,0,16,Constitution,750074444,Rodney Farthing,34211,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Benton,015,0,8,Republican,750074446,Tom Schweich,34212,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Benton,015,0,8,Libertarian,750074445,Sean O'Toole,34213,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Benton,015,0,8,Constitution,750074444,Rodney Farthing,34214,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Bollinger,017,0,14,Republican,750074446,Tom Schweich,34215,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Bollinger,017,0,14,Libertarian,750074445,Sean O'Toole,34216,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Bollinger,017,0,14,Constitution,750074444,Rodney Farthing,34217,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Boone,019,0,59,Republican,750074446,Tom Schweich,34218,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Boone,019,0,59,Libertarian,750074445,Sean O'Toole,34219,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Boone,019,0,59,Constitution,750074444,Rodney Farthing,34220,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Buchanan,021,0,27,Republican,750074446,Tom Schweich,34221,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Buchanan,021,0,27,Libertarian,750074445,Sean O'Toole,34222,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Buchanan,021,0,27,Constitution,750074444,Rodney Farthing,34223,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Butler,023,0,27,Republican,750074446,Tom Schweich,34224,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Butler,023,0,27,Libertarian,750074445,Sean O'Toole,34225,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Butler,023,0,27,Constitution,750074444,Rodney Farthing,34226,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Caldwell,025,0,11,Republican,750074446,Tom Schweich,34227,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Caldwell,025,0,11,Libertarian,750074445,Sean O'Toole,34228,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Caldwell,025,0,11,Constitution,750074444,Rodney Farthing,34229,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Callaway,027,0,26,Republican,750074446,Tom Schweich,34230,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Callaway,027,0,26,Libertarian,750074445,Sean O'Toole,34231,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Callaway,027,0,26,Constitution,750074444,Rodney Farthing,34232,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Camden,029,0,25,Republican,750074446,Tom Schweich,34233,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Camden,029,0,25,Libertarian,750074445,Sean O'Toole,34234,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Camden,029,0,25,Constitution,750074444,Rodney Farthing,34235,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cape Girardeau,031,0,30,Republican,750074446,Tom Schweich,34236,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cape Girardeau,031,0,30,Libertarian,750074445,Sean O'Toole,34237,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cape Girardeau,031,0,30,Constitution,750074444,Rodney Farthing,34238,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Carroll,033,0,13,Republican,750074446,Tom Schweich,34239,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Carroll,033,0,13,Libertarian,750074445,Sean O'Toole,34240,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Carroll,033,0,13,Constitution,750074444,Rodney Farthing,34241,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Carter,035,0,8,Republican,750074446,Tom Schweich,34242,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Carter,035,0,8,Libertarian,750074445,Sean O'Toole,34243,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Carter,035,0,8,Constitution,750074444,Rodney Farthing,34244,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cass,037,0,48,Republican,750074446,Tom Schweich,34245,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cass,037,0,48,Libertarian,750074445,Sean O'Toole,34246,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cass,037,0,48,Constitution,750074444,Rodney Farthing,34247,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cedar,039,0,10,Republican,750074446,Tom Schweich,34248,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cedar,039,0,10,Libertarian,750074445,Sean O'Toole,34249,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cedar,039,0,10,Constitution,750074444,Rodney Farthing,34250,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Chariton,041,0,13,Republican,750074446,Tom Schweich,34251,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Chariton,041,0,13,Libertarian,750074445,Sean O'Toole,34252,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Chariton,041,0,13,Constitution,750074444,Rodney Farthing,34253,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Christian,043,0,27,Republican,750074446,Tom Schweich,34254,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Christian,043,0,27,Libertarian,750074445,Sean O'Toole,34255,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Christian,043,0,27,Constitution,750074444,Rodney Farthing,34256,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Clark,045,0,7,Republican,750074446,Tom Schweich,34257,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Clark,045,0,7,Libertarian,750074445,Sean O'Toole,34258,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Clark,045,0,7,Constitution,750074444,Rodney Farthing,34259,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Clay,047,0,79,Republican,750074446,Tom Schweich,34260,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Clay,047,0,79,Libertarian,750074445,Sean O'Toole,34261,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Clay,047,0,79,Constitution,750074444,Rodney Farthing,34262,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Clinton,049,0,7,Republican,750074446,Tom Schweich,34263,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Clinton,049,0,7,Libertarian,750074445,Sean O'Toole,34264,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Clinton,049,0,7,Constitution,750074444,Rodney Farthing,34265,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cole,051,0,36,Republican,750074446,Tom Schweich,34266,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cole,051,0,36,Libertarian,750074445,Sean O'Toole,34267,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cole,051,0,36,Constitution,750074444,Rodney Farthing,34268,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cooper,053,0,11,Republican,750074446,Tom Schweich,34269,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cooper,053,0,11,Libertarian,750074445,Sean O'Toole,34270,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Cooper,053,0,11,Constitution,750074444,Rodney Farthing,34271,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Crawford,055,0,9,Republican,750074446,Tom Schweich,34272,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Crawford,055,0,9,Libertarian,750074445,Sean O'Toole,34273,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Crawford,055,0,9,Constitution,750074444,Rodney Farthing,34274,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Dade,057,0,9,Republican,750074446,Tom Schweich,34275,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Dade,057,0,9,Libertarian,750074445,Sean O'Toole,34276,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Dade,057,0,9,Constitution,750074444,Rodney Farthing,34277,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Dallas,059,0,13,Republican,750074446,Tom Schweich,34278,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Dallas,059,0,13,Libertarian,750074445,Sean O'Toole,34279,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Dallas,059,0,13,Constitution,750074444,Rodney Farthing,34280,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Daviess,061,0,7,Republican,750074446,Tom Schweich,34281,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Daviess,061,0,7,Libertarian,750074445,Sean O'Toole,34282,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Daviess,061,0,7,Constitution,750074444,Rodney Farthing,34283,(null)
State of Missouri,State Auditor,0,3329,11958846,0,De Kalb,063,0,9,Republican,750074446,Tom Schweich,34284,(null)
State of Missouri,State Auditor,0,3329,11958846,0,De Kalb,063,0,9,Libertarian,750074445,Sean O'Toole,34285,(null)
State of Missouri,State Auditor,0,3329,11958846,0,De Kalb,063,0,9,Constitution,750074444,Rodney Farthing,34286,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Dent,065,0,9,Republican,750074446,Tom Schweich,34287,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Dent,065,0,9,Libertarian,750074445,Sean O'Toole,34288,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Dent,065,0,9,Constitution,750074444,Rodney Farthing,34289,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Douglas,067,0,14,Republican,750074446,Tom Schweich,34290,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Douglas,067,0,14,Libertarian,750074445,Sean O'Toole,34291,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Douglas,067,0,14,Constitution,750074444,Rodney Farthing,34292,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Dunklin,069,0,19,Republican,750074446,Tom Schweich,34293,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Dunklin,069,0,19,Libertarian,750074445,Sean O'Toole,34294,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Dunklin,069,0,19,Constitution,750074444,Rodney Farthing,34295,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Franklin,071,0,51,Republican,750074446,Tom Schweich,34296,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Franklin,071,0,51,Libertarian,750074445,Sean O'Toole,34297,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Franklin,071,0,51,Constitution,750074444,Rodney Farthing,34298,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Gasconade,073,0,18,Republican,750074446,Tom Schweich,34299,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Gasconade,073,0,18,Libertarian,750074445,Sean O'Toole,34300,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Gasconade,073,0,18,Constitution,750074444,Rodney Farthing,34301,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Gentry,075,0,11,Republican,750074446,Tom Schweich,34302,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Gentry,075,0,11,Libertarian,750074445,Sean O'Toole,34303,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Gentry,075,0,11,Constitution,750074444,Rodney Farthing,34304,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Greene,077,0,76,Republican,750074446,Tom Schweich,34305,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Greene,077,0,76,Libertarian,750074445,Sean O'Toole,34306,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Greene,077,0,76,Constitution,750074444,Rodney Farthing,34307,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Grundy,079,0,10,Republican,750074446,Tom Schweich,34308,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Grundy,079,0,10,Libertarian,750074445,Sean O'Toole,34309,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Grundy,079,0,10,Constitution,750074444,Rodney Farthing,34310,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Harrison,081,0,10,Republican,750074446,Tom Schweich,34311,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Harrison,081,0,10,Libertarian,750074445,Sean O'Toole,34312,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Harrison,081,0,10,Constitution,750074444,Rodney Farthing,34313,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Henry,083,0,10,Republican,750074446,Tom Schweich,34314,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Henry,083,0,10,Libertarian,750074445,Sean O'Toole,34315,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Henry,083,0,10,Constitution,750074444,Rodney Farthing,34316,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Hickory,085,0,10,Republican,750074446,Tom Schweich,34317,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Hickory,085,0,10,Libertarian,750074445,Sean O'Toole,34318,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Hickory,085,0,10,Constitution,750074444,Rodney Farthing,34319,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Holt,087,0,7,Republican,750074446,Tom Schweich,34320,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Holt,087,0,7,Libertarian,750074445,Sean O'Toole,34321,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Holt,087,0,7,Constitution,750074444,Rodney Farthing,34322,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Howard,089,0,9,Republican,750074446,Tom Schweich,34323,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Howard,089,0,9,Libertarian,750074445,Sean O'Toole,34324,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Howard,089,0,9,Constitution,750074444,Rodney Farthing,34325,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Howell,091,0,21,Republican,750074446,Tom Schweich,34326,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Howell,091,0,21,Libertarian,750074445,Sean O'Toole,34327,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Howell,091,0,21,Constitution,750074444,Rodney Farthing,34328,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Iron,093,0,10,Republican,750074446,Tom Schweich,34329,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Iron,093,0,10,Libertarian,750074445,Sean O'Toole,34330,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Iron,093,0,10,Constitution,750074444,Rodney Farthing,34331,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Jackson,095,0,207,Republican,750074446,Tom Schweich,34332,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Jackson,095,0,207,Libertarian,750074445,Sean O'Toole,34333,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Jackson,095,0,207,Constitution,750074444,Rodney Farthing,34334,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Jasper,097,0,47,Republican,750074446,Tom Schweich,34335,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Jasper,097,0,47,Libertarian,750074445,Sean O'Toole,34336,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Jasper,097,0,47,Constitution,750074444,Rodney Farthing,34337,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Jefferson,099,0,57,Republican,750074446,Tom Schweich,34338,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Jefferson,099,0,57,Libertarian,750074445,Sean O'Toole,34339,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Jefferson,099,0,57,Constitution,750074444,Rodney Farthing,34340,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Johnson,101,0,11,Republican,750074446,Tom Schweich,34341,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Johnson,101,0,11,Libertarian,750074445,Sean O'Toole,34342,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Johnson,101,0,11,Constitution,750074444,Rodney Farthing,34343,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Kansas City,,0,150,Republican,750074446,Tom Schweich,34344,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Kansas City,,0,150,Libertarian,750074445,Sean O'Toole,34345,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Kansas City,,0,150,Constitution,750074444,Rodney Farthing,34346,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Knox,103,0,7,Republican,750074446,Tom Schweich,34347,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Knox,103,0,7,Libertarian,750074445,Sean O'Toole,34348,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Knox,103,0,7,Constitution,750074444,Rodney Farthing,34349,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Laclede,105,0,17,Republican,750074446,Tom Schweich,34350,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Laclede,105,0,17,Libertarian,750074445,Sean O'Toole,34351,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Laclede,105,0,17,Constitution,750074444,Rodney Farthing,34352,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Lafayette,107,0,15,Republican,750074446,Tom Schweich,34353,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Lafayette,107,0,15,Libertarian,750074445,Sean O'Toole,34354,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Lafayette,107,0,15,Constitution,750074444,Rodney Farthing,34355,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Lawrence,109,0,20,Republican,750074446,Tom Schweich,34356,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Lawrence,109,0,20,Libertarian,750074445,Sean O'Toole,34357,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Lawrence,109,0,20,Constitution,750074444,Rodney Farthing,34358,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Lewis,111,0,7,Republican,750074446,Tom Schweich,34359,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Lewis,111,0,7,Libertarian,750074445,Sean O'Toole,34360,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Lewis,111,0,7,Constitution,750074444,Rodney Farthing,34361,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Lincoln,113,0,22,Republican,750074446,Tom Schweich,34362,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Lincoln,113,0,22,Libertarian,750074445,Sean O'Toole,34363,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Lincoln,113,0,22,Constitution,750074444,Rodney Farthing,34364,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Linn,115,0,14,Republican,750074446,Tom Schweich,34365,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Linn,115,0,14,Libertarian,750074445,Sean O'Toole,34366,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Linn,115,0,14,Constitution,750074444,Rodney Farthing,34367,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Livingston,117,0,12,Republican,750074446,Tom Schweich,34368,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Livingston,117,0,12,Libertarian,750074445,Sean O'Toole,34369,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Livingston,117,0,12,Constitution,750074444,Rodney Farthing,34370,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Macon,121,0,12,Republican,750074446,Tom Schweich,34371,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Macon,121,0,12,Libertarian,750074445,Sean O'Toole,34372,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Macon,121,0,12,Constitution,750074444,Rodney Farthing,34373,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Madison,123,0,8,Republican,750074446,Tom Schweich,34374,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Madison,123,0,8,Libertarian,750074445,Sean O'Toole,34375,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Madison,123,0,8,Constitution,750074444,Rodney Farthing,34376,(null)
State of Missouri,State Auditor,0,3329,11958846,0,Maries,125,0,12,Republican,750074446,Tom Schweich,34377,(null)
